# case	version	url	sha256	git_commit	srpm_member	member_sha256
upstream-10.1.5	10.1.5	https://codeload.github.com/sysstat/sysstat/tar.gz/0a5d702af14317b37f138525eccfe080dbe67aaa	283466b17c6ed3899fbca7a9e7ecc2703a716142b01447d445cbc6a8f5b658a2	0a5d702af14317b37f138525eccfe080dbe67aaa	-	-
upstream-10.1.6	10.1.6	https://codeload.github.com/sysstat/sysstat/tar.gz/e702b51da39d32600abb917e1961e1bcffe7336c	74ddaca23b095d9ba45b9c98ba74fab8bbe11b5e38d1fbf949f75d104d1d4008	e702b51da39d32600abb917e1961e1bcffe7336c	-	-
upstream-10.1.7	10.1.7	https://codeload.github.com/sysstat/sysstat/tar.gz/46945d361234c8638e67d46d90db35e7227664e2	7c924e9fde6b897c468cf187a7f581214562374a502abe8cd4e8ddabedab7a58	46945d361234c8638e67d46d90db35e7227664e2	-	-
upstream-10.2.0	10.2.0	https://codeload.github.com/sysstat/sysstat/tar.gz/5157d89926a4766d389e9c961bcd7929246c51f0	c5debd062ef4827c2a5b028fc89798d2b59ca528f2664f700d7dfa35c3fc0b9d	5157d89926a4766d389e9c961bcd7929246c51f0	-	-
upstream-10.2.1	10.2.1	https://codeload.github.com/sysstat/sysstat/tar.gz/7471c52d70b6c4ed91fb8e828435aea3a1a8678c	d04dea25e23a4b20d711236254bd671b9e184188988343e8c460103a73caa261	7471c52d70b6c4ed91fb8e828435aea3a1a8678c	-	-
upstream-10.3.1	10.3.1	https://codeload.github.com/sysstat/sysstat/tar.gz/40e7744360635df172135b204d78a0c25a90b6a6	8c63b33ce5b38b3e9b7193ee74f221d10d01b42c99352157e5229f27dd63bbbd	40e7744360635df172135b204d78a0c25a90b6a6	-	-
upstream-11.0.0	11.0.0	https://codeload.github.com/sysstat/sysstat/tar.gz/cdceb01f1e225ce6aaf25f108de185ba008a79e3	30d7c3fe3286092f636fe9e4bc8bcc722ce3f0e9f19ae1d6516100d1d37ef3aa	cdceb01f1e225ce6aaf25f108de185ba008a79e3	-	-
upstream-11.0.1	11.0.1	https://codeload.github.com/sysstat/sysstat/tar.gz/0eb2089e8534b25a3c7ebfbd147cde8872a01774	de0c4693c2932d3627d776616a21ba94a702625fe73a03e6aa6ae86a26a9f4f0	0eb2089e8534b25a3c7ebfbd147cde8872a01774	-	-
upstream-11.0.2	11.0.2	https://codeload.github.com/sysstat/sysstat/tar.gz/264de8a6d8e55dcd56fe6e3b4703aff8c664fd51	0064807bf00b5c38f6f9fd48c9533a2d5b2bd16ab219dce2c0af41339b4eea19	264de8a6d8e55dcd56fe6e3b4703aff8c664fd51	-	-
upstream-11.0.3	11.0.3	https://codeload.github.com/sysstat/sysstat/tar.gz/0f5737ccef2412a2a78308309f3db2e06956dd6e	ef206023350516a757aa7ebc6eeac5725b7f5a824002e1bdf044009a2b66bb18	0f5737ccef2412a2a78308309f3db2e06956dd6e	-	-
upstream-11.0.4	11.0.4	https://codeload.github.com/sysstat/sysstat/tar.gz/c7c2899a9e23ba968c87084d7dde57f096115ef1	ca698f03ae0f6504acd20a1c2363e63d16a85c25ff5c6d5dbc8c71c133f39508	c7c2899a9e23ba968c87084d7dde57f096115ef1	-	-
upstream-11.0.5	11.0.5	https://codeload.github.com/sysstat/sysstat/tar.gz/51a9acabac2703de82245b051ff78ce241341af1	06a556f7a2fd930148c70a31327f16944a0da36eaf7695e9c6828410af946b82	51a9acabac2703de82245b051ff78ce241341af1	-	-
upstream-11.0.6	11.0.6	https://codeload.github.com/sysstat/sysstat/tar.gz/8865aba826de2f5782caf16b2beb58f2374b35e9	53c454633d2580c9c8ebf727d41cb1cf1113d921b98b7c2036759fc11ec14c29	8865aba826de2f5782caf16b2beb58f2374b35e9	-	-
upstream-11.0.7	11.0.7	https://codeload.github.com/sysstat/sysstat/tar.gz/661f436260828450a8921c26856b4f54f5d29279	489e18c463d4b0fb04d421d68cdee0e5beb0fa595307abf6b45491fc72f6dac6	661f436260828450a8921c26856b4f54f5d29279	-	-
upstream-11.0.8	11.0.8	https://codeload.github.com/sysstat/sysstat/tar.gz/64654708e09c96165402f0e3240703bb67fc6e55	d7ac47da8f218651672cdbbdbbf706e3fa02f8c8bb2233bbae6b3051a701f5d5	64654708e09c96165402f0e3240703bb67fc6e55	-	-
upstream-11.1.1	11.1.1	https://codeload.github.com/sysstat/sysstat/tar.gz/074e55d5507618a086939eb8ce24fd6691c57bfb	6f64cf6b783fd3afdc7a6f6eb3744790196623583d5a77e38d2aff71900eaec4	074e55d5507618a086939eb8ce24fd6691c57bfb	-	-
upstream-11.1.2	11.1.2	https://codeload.github.com/sysstat/sysstat/tar.gz/86fc0f82d1f3a7042d73e10deb4b05800c7f6ac3	4c0ede3d4c9207a031a56f415aba59995080d6347bf76d8affd45114f8a8de59	86fc0f82d1f3a7042d73e10deb4b05800c7f6ac3	-	-
upstream-11.1.3	11.1.3	https://codeload.github.com/sysstat/sysstat/tar.gz/658d3687289abbf8b96c54f993e0d62967a32498	6c1e4ca269ef20e1f2c76ab17d73fb79cc6d10bcccaee42750f7f3e162fd2f9d	658d3687289abbf8b96c54f993e0d62967a32498	-	-
upstream-11.1.4	11.1.4	https://codeload.github.com/sysstat/sysstat/tar.gz/a902141566ffd627994f0aaeacf875105a4466b4	b5e5e77cba22a86f3aac3801e11778912259f1f74080001bc38548370b1e48a9	a902141566ffd627994f0aaeacf875105a4466b4	-	-
upstream-11.1.5	11.1.5	https://codeload.github.com/sysstat/sysstat/tar.gz/6cee2814b858329a9d93db6978d6cdce78dba2aa	10925c8e485a80d9a9cc1f5e0a519aa61a1c0574ca6b9dde7a9e61bb660f8ee2	6cee2814b858329a9d93db6978d6cdce78dba2aa	-	-
upstream-11.1.6	11.1.6	https://codeload.github.com/sysstat/sysstat/tar.gz/4618efbc8911c7b30e4855d3e82da0a09f215f1c	7664b4b25a3280d825b11b20f80709dd1c26648ce03912213e873d3ad7675129	4618efbc8911c7b30e4855d3e82da0a09f215f1c	-	-
upstream-11.1.7	11.1.7	https://codeload.github.com/sysstat/sysstat/tar.gz/03d08abe7fc926ef2c8b5deadaf508091d23596f	d9ddba1055db6c1f3d20af7260c088360bf289e1fd1a800dfb9cd5f404ac3c74	03d08abe7fc926ef2c8b5deadaf508091d23596f	-	-
upstream-11.1.8	11.1.8	https://codeload.github.com/sysstat/sysstat/tar.gz/13ac5af1dca333fc48611e74ba58af34de8e1d2c	ccc59310ee305e29c97723ec85d127ccfa02c5ba5d6a9e4d8631bf365c810084	13ac5af1dca333fc48611e74ba58af34de8e1d2c	-	-
upstream-11.2.0	11.2.0	https://codeload.github.com/sysstat/sysstat/tar.gz/f1a2c75a6a894a6d7b15ebeac8e54797a5e107bc	7c1a1c7035adddf08820aed0a824f12238e40e11eb71497872993388d5ba878d	f1a2c75a6a894a6d7b15ebeac8e54797a5e107bc	-	-
upstream-11.2.1	11.2.1	https://codeload.github.com/sysstat/sysstat/tar.gz/49a6d9c6495cfeeef3c303180775dc3d03d98c6b	deb0ade107f6192df137ae7af3d409e6020a80f30dde4872c084018af3864494	49a6d9c6495cfeeef3c303180775dc3d03d98c6b	-	-
upstream-11.2.1.1	11.2.1.1	https://codeload.github.com/sysstat/sysstat/tar.gz/f4dbf172d9cd0181a2c80080c8e28093d21df03d	ce822d065901872c209caf4e1a633ec421095962d0b4a36a5a2da0f300ccbafe	f4dbf172d9cd0181a2c80080c8e28093d21df03d	-	-
upstream-11.2.2	11.2.2	https://codeload.github.com/sysstat/sysstat/tar.gz/cb279ea08720d64827f8e29c2c044cf94055717e	6165bedf463bdcf83128afaaaa2c386a3f7be8672d1443793ed185c6e33ab614	cb279ea08720d64827f8e29c2c044cf94055717e	-	-
upstream-11.2.3	11.2.3	https://codeload.github.com/sysstat/sysstat/tar.gz/d60802d5d7aba227c0e3125a295cc35f49ccc936	c5607fe7232377b7b1cfc1c8e9cd8bc85e444a78bed1a3666149c43dacbe9e55	d60802d5d7aba227c0e3125a295cc35f49ccc936	-	-
upstream-11.2.4	11.2.4	https://codeload.github.com/sysstat/sysstat/tar.gz/139ad54806716d831b8c4af8b95bac0fdcd1e7ff	282ccd1fced73ad32e1dbaf20d964de5a15765ef167375746b73b0694ee1b480	139ad54806716d831b8c4af8b95bac0fdcd1e7ff	-	-
upstream-11.2.5	11.2.5	https://codeload.github.com/sysstat/sysstat/tar.gz/3c275c1f8d00a7bdab647aca17abe465f7a8ea17	ddb67ad85257ea7482368af428d309fc8ba1eecbc19e8367f1ea9265400b6fe3	3c275c1f8d00a7bdab647aca17abe465f7a8ea17	-	-
upstream-11.2.6	11.2.6	https://codeload.github.com/sysstat/sysstat/tar.gz/4bd9d29564d9f5fa0640b2464b3e567c67cd133a	e09834c5aa1447530fe99bda2d576522999a1468c218647551ad0fd7fd6560f4	4bd9d29564d9f5fa0640b2464b3e567c67cd133a	-	-
upstream-11.2.7	11.2.7	https://codeload.github.com/sysstat/sysstat/tar.gz/d0a739d03bcc10f5e6fe75b045cdb66a79d83fbe	acbaffe083fe2c617dae59dbd5be3600bb016075f4ae5b05a17613c219b7ed55	d0a739d03bcc10f5e6fe75b045cdb66a79d83fbe	-	-
upstream-11.2.8	11.2.8	https://codeload.github.com/sysstat/sysstat/tar.gz/63015bf4352531c233c33f288de2d3f22e9dfb80	11a5c22ba8ac47607380e8d2543ae0e1b32d57c318686d378d978551d3dacd18	63015bf4352531c233c33f288de2d3f22e9dfb80	-	-
